"","degree.mst.","ID","closeness_centrality","betweeness_centrality","eigen_centrality","community"
"170",2,"UQCRC1",0.000884522702954198,186,0.0237029126089484,14
"171",3,"DGAT1",0.00058437777293888,371,2.24538820880432e-05,15
"172",4,"ESX1",0.000624571516244242,1097,6.43570664662542e-05,15
"173",1,"GGPS1",0.000583866447382664,0,1.85169891020658e-05,15
"174",1,"HSP90B1",0.000664107120242967,0,0.000144568210330734,15
"175",2,"QPRT",0.000584280544650443,186,2.01978572051254e-05,15
"176",1,"SINHCAF",0.000548352758162841,0,6.50673642015418e-06,15
"177",3,"SPN",0.000717826817544995,1610,0.000497709274251296,15
"178",2,"TTC8",0.00066828476899498,1260,0.000161847931051561,15
"179",1,"YIPF4",0.000548396326767705,0,5.83061210831571e-06,15
"180",1,"ZBTB48",0.000548237160281271,0,6.52899175544861e-06,15
"181",2,"ESPN",0.00061293042102346,186,3.92280771976313e-06,16
"182",1,"GRIA3",0.000573583119907961,0,1.13168552683419e-06,16
"183",3,"INTS6",0.000708864880067819,735,3.90569013988977e-05,16
"184",1,"LETM1",0.000762984944832939,0,0.000101398047604263,16
"185",2,"NCKAP1L",0.000767023505415622,910,0.000111872831483051,16
"186",2,"PAICS",0.00065773483715488,370,1.24189305221686e-05,16
"187",3,"TENT4B",0.000835035041322869,1266,0.000347851888016763,16
"188",1,"TXK",0.000656855293191202,0,1.12452562289413e-05,16
