"","degree.mst.","ID","closeness_centrality","betweeness_centrality","eigen_centrality","community"
"133",3,"MRTO4",0.000889324485550663,1795,0.00130288953205,11
"134",2,"NDUFA8",0.000816470661833113,340,0.000429838127996788,11
"135",1,"ABHD17B",0.00069912780249463,0,4.22353840384272e-05,11
"136",1,"AP1G1",0.000756374902887168,0,0.000160345655247168,11
"137",1,"CLIP2",0.000879299488196982,0,0.00101008234031838,11
"138",1,"COA8",0.000756449453884943,0,0.000160142760515326,11
"139",2,"EDEM3",0.000616859262050404,171,6.560468043616e-06,11
"140",4,"KLRK1",0.000820261905879067,1166,0.000538106488768758,11
"141",3,"NDUFAF5",0.000966594248705025,2079,0.00339847063945921,11
"142",2,"NUP107",0.000758700278016511,672,0.000179453441345495,11
"143",2,"PDE1B",0.000705283787093426,507,5.96490984979839e-05,11
"144",1,"RMDN1",0.000578705497316441,0,2.02905878376328e-06,11
"145",2,"SERPINF2",0.000658407081235988,340,1.98072664144501e-05,11
"146",1,"LIPT1",0.000984437098197557,0,0.0153933797722212,12
"147",2,"MYLK",0.00109751113894244,171,0.0508278658448675,12
"148",4,"NMT2",0.00139885373110837,2265,0.417528435752858,12
"149",3,"AGAP3",0.00123551521408895,1165,0.154921331616098,12
"150",1,"BIVM-ERCC5",0.000818610964803714,0,0.00153968640906264,12
"151",3,"ESPN",0.000993512690528549,509,0.0190140869598168,12
"152",2,"FAM205A",0.00109504578648641,507,0.0462899218041639,12
"153",2,"GRIA3",0.000902347621083006,171,0.00621430271053735,12
"154",1,"KLRF1",0.00122306314798003,0,0.124144242884478,12
"155",2,"LIPJ",0.000894130575425278,171,0.00515685514720228,12
"156",2,"MCCC1",0.00110203191671241,672,0.0517592635123883,12
"157",1,"NGDN",0.000899105675471004,0,0.0058151602802724,12
"158",1,"PCDH19",0.00082556796248867,0,0.00185343763710275,12
"159",2,"STARD5",0.000984878232196941,340,0.0155670728775691,12
"160",2,"TRIM33",0.00123040443659988,672,0.138000357077522,12
"161",1,"PAFAH1B2",0.00079690897839958,0,0.00039117708259737,13
"162",1,"RNF19B",0.000797912334234575,0,0.000431295577710013,13
"163",2,"TRABD",0.00104691517179311,1312,0.0093476511878853,13
"164",1,"C11orf1",0.000797788783123423,0,0.000432110572420647,13
"165",2,"FCER2",0.00105535674281188,2212,0.00912386353657519,13
"166",1,"GALNT12",0.000796989047317363,0,0.000390470877693462,13
"167",2,"IRF1",0.000868396063853727,171,0.00130859806306267,13
"168",3,"LCK",0.000869143567752295,341,0.00145105920888799,13
"169",4,"MRPL24",0.000952488243996489,1171,0.00400313481909096,13
"170",5,"OSBPL3",0.00116047585992784,3980,0.027321196440052,13
"171",1,"PRDM1",0.00103642258515232,0,0.0081545701552182,13
"172",2,"TFR2",0.000868248455037717,171,0.00131031800102953,13
"173",1,"ZNF525",0.00103135805901318,0,0.00852916198545269,13
